Order,Site,RFID Date,LEFT,RIGHT,RFID number,OLD RFID,Sex,Age_TOIC,Notes,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Detected_18_19,Detected_17_18,Detected_16_17,Detected_15_16,Detected_14_15,Detected_April_16,Detected_May_16,Recap_F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15,,,Present_17_18,Present_16_17,Present_15_16,Present_14_15,Nonbreeding_18_19,Breeding_18,Nonbreeding_17_18,Breeding_17,Nonbreeding_16_17,Breeding_16,Nonbreeding_15_16,Breeding_15,Nonbreeding_14_15,Remove_18_19
117,H,42183,G/LB,R PT,0300027217,,F,adult,,,BOX B29 H,,BOX B16-1 H,N,N,N,N,,,,,,,,,,,0,1,0,1,0,0,0,1,0,0,0,1,1,N
118,H,42183,G/LG,R PT,030002BF3A,,M,adult,,,,,BOX B16-1 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
119,H,42183,R PT,G/Y,0300036594,,F,adult,,,,BOX 1 H,BOX B2 H,N,N,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,,Y-F1H 10/30,,,,0,1,1,1,0,0,0,0,1,1,1,1,1,N
120,H,42183,R PT,G/Grey,030003371B,,M,adult,,BOX B18 H,,BOX B32 H,BOX B12 H,N,Y,N,N,,,,,F1H 12/22/17,,,,,,1,0,1,1,0,1,1,0,0,1,0,1,1,N
121,H,42184,G/Grey,R PT,030001E144,,F,adult,,,,,BOX 27 H,N,N,N,N,,,,,,,Y-F4H 11/6,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
122,H,42184,G/O,R PT,030002A9C9,,F,adult,,,,,BOX 17-2 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
123,H,42184,G/Y,R PT,0300023A64,,F,adult,,,,,BOX 17-3 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
124,H,42185,R PT,LG/G,0700EE42A0,,F,adult,,,,,BOX B32 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
125,H,42185,R PT,LB/G,0700ED8DFA,,M,adult,,,,,BOX B32 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
126,H,42185,R PT,Black/G,0300023498,,F,adult,,,,,BOX B26 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
127,H,42185,R PT,O/G,0700EDF8BA,,F,adult,,,,,BOX 43-2 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
128,H,42185,R PT,Y/G,030001DB5E,,M,adult,,,,,BOX 22 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
129,H,42185,R PT,Grey/G,030003384A,,F,adult,,,,,BOX B12 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
130,H,42186,Black/G,R PT,030003BA94,,F,adult,,,,,BOX 6 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
131,H,42186,Grey/G,R PT,0700EE0945,,M,adult,Adult,,,,BOX 41 H,N,N,N,N,,,,,,,Y-Feeder # not recorded 9/21/15,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
132,H,42186,LB/G,R PT,0700EDFF9E,,F,adult,,,,,BOX B28 H,N,N,Y,Y,,Y-HEAR 1,,,,Y-F1H 12/26/2016,,,,,0,1,1,1,0,0,0,0,1,0,1,1,1,N
133,H,42186,LG/G,R PT,0300022B1E,,M,adult,Was mistakenly recorded as the female at BOX B21 H in 2016,,,BOX UNKNOWN,BOX B28 H,N,N,N,N,,,,,,,,,,,0,0,1,1,0,0,0,0,0,1,0,1,1,N
134,H,42186,O/G,R PT,0700EDB6EA,,M,adult,,,,BOX 43-1 H,BOX 43-2 H,N,N,N,N,,,,,,,,,,,0,0,1,1,0,0,0,0,0,1,0,1,1,N
135,H,42186,Y/G,R PT,030001A0E8,,F,adult,Detected at LOW array F2015/W16,BOX 22 H,BOX 22 H,BOX 33 H,BOX 22 H,N,Y,Y,Y,,Y-LEAR 8,,,,,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,N
136,H,42187,LG/LG,R PT,030001ED44,,F,adult,,,,,BOX B18 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
137,H,42187,R PT,LG/LB,03000223AD,,F,adult,,,,BOX 33-1 H,BOX 32 H,N,N,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,Y- 11/21/2016 F3H,Y-F3 11/11,,,,0,1,1,1,0,0,0,0,1,1,1,1,1,N
138,H,42187,S2540-39384/Y,R PT,0700EDEFA0,,M,adult,,,,BOX B28 H,BOX B18 H,N,Y,Y,Y,,Y-HEAR 1,,,F1H 12/06;,,,,,,1,1,1,1,0,0,1,0,1,1,1,1,1,N
139,H,42187,S2540-39409/O,R PT,030002A7B9,,M,adult,,,,,BOX 21 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
140,H,42189,R PT,LG/Grey,0700EDAEC2,,M,adult,,,,,BOX 10A H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
141,H,42189,R PT,LG/Y,0700EE3490,,F,adult,,,,,BOX 10A H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
142,H,42189,S2540-39427/R,Y PT,0700EE2818,,M,adult,,BOX 12A H,,BOX 9A H,BOX 19A H,N,Y,Y,Y,,Y-HEAR 1,Y-HEAR 1,,F1H-F4H 9/15,,,,,,1,1,1,1,0,1,1,0,1,1,1,1,1,N
143,H,42190,LG/LB,R PT,0700EDF133,,F,adult,,,,,BOX 19A H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
144,H,42191,LG/Black,R PT,0700EE2255,,F,adult,,,,,BOX 33 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
145,H,42191,LG/O,R PT,0700ED8E2B,,M,adult,,,,BOX 36 H,BOX 35 H,Y,Y,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,,,,,,1,1,1,1,1,0,1,0,1,1,1,1,1,N
146,H,42191,R PT,Y/S2440-29336,0700EDE52B,,M,adult,S not in our database!,,,,BOX 33 H,N,N,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,Y- 12/7/2016 F3H,,,,,0,1,1,1,0,0,0,0,1,0,1,1,1,N
147,H,42192,LG/Grey,R PT,0700EDC3CB,,M,adult,,BOX 15 H,,,STUMP NEST H,N,N,N,N,,,,,,,,,,,1,0,0,1,0,1,0,0,0,0,0,1,1,N
148,H,42192,LG/Y,R PT,0700EDA11E,,F,adult,,BOX 33 H,BOX 34 H,BOX 34 H,BOX 34 H,Y,Y,Y,Y,,Y-HEAR 1; HEAR 3,,,,Y-12/19/2016 F5H,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,N
149,H,42192,R PT,LB/LG,0700EE2926,,F,adult,caught at box 38 but not breeding there,,,,STUMP NEST H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
150,H,42193,R PT,Black/LG,0700EDBDD9,,F,adult,,,,,BOX 29 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
151,H,42198,R PT,O/LG,0700EDA7DC,,M,adult,,,,,BOX 36 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
152,H,42237,Black/LG,R PT,0700EE34A2,,M,adult,Adult. Caught with Blue/Grey;R PT (030001E598),BOX 21A H,,,,N,N,N,N,,,,,,,,,,,1,0,1,,0,1,0,0,0,0,1,,,N
153,H,42237,LB/LG,R PT,0700EE2DC4,,F,juv,Juvie,,,,,N,N,N,N,,,,,,,Y-F2H 9/7/15,,,,0,0,1,,0,0,0,0,0,0,1,,,N
154,H,42237,R PT,Y/LG,0700EDEE35,,,juv,Juvie,,,,,N,N,N,N,,,,,,,Y-F1H 9/7/15,,,,0,0,1,,0,0,0,0,0,0,1,,,N
155,H,42237,R PT,Grey/LG,0700EDDE6B,,M,adult,Adult. Caught with R PT; LB/LB (03000208C0),,BOX 18A H,BOX 8A H,,N,Y,Y,Y,,Y-HEAR 1,Y-HEAR 1,,,,Y-F1H 9/21/15,,,,1,1,1,,0,0,1,1,1,1,1,,,N
156,H,42244,Blue/S2740-25271,R PT,0700ED8B2A,,,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
157,H,42244,R PT,Y/LB,0700EDCA23,,,juv,Juvie,,,,,N,N,N,N,,Y-HEAR 3,,,,F4H,,,,,0,1,1,,0,0,0,0,1,0,1,,,N
158,H,42244,R PT,Y/Black,0700EE33B0,,,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
159,H,42244,R PT,Y/O,0700EDEA8D,,M,adult,Adult,,,,,N,N,N,N,,Y-HEAR 3,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
160,H,42254,Black/Y,R PT,0700EE279F,,,juv,Juvie?,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
161,H,42254,Grey/Y,R PT,0700EE32F3,,,adult,DUPLICATE COLOR CODE. Adult,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
162,H,42254,Grey/Y,R PT,0700EDB014,,,juv,DUPLICATE COLOR CODE. Juvie. Caught with R PT;O/LB (0700EDE6F8) 9/7/15.,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
163,H,42254,LB/Y,R PT,0700EDC234,,,adult,Adult,,,,,N,N,N,N,,,,,,,Y-F4H 9/11/15,,,,0,0,1,,0,0,0,0,0,0,1,,,N
164,H,42254,O/LB,R PT,0700EDE18E,,,juv,Juvie. Not much blood taken 9/7/15.,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
165,H,42254,O/Y,R PT,0700EE3795,,F,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
166,H,42254,R PT,Y/Grey,0700EDA4FD,,F,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
167,H,42254,R PT,LB/Y,0700EDBC15,,,juv,Juvie,,,,,N,N,N,Y,,,,,,,Y - F1H 10/7; F7H 11/4,,,,0,0,1,,0,0,0,0,0,0,1,,,N
168,H,42254,R PT,Black/Y,0700EDB060,,F,adult,Adult. Low amounts of blood collected 9/7/15.,,,BOX 36 H,,N,N,Y,Y,,Y-HEAR 3,Y-HEAR 3,,,,Y - F5H 10/2,,,,0,1,1,,0,0,0,0,1,1,1,,,N
169,H,42254,R PT,O/Y,0700EE2A8F,,M,adult,Adult??,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
170,H,42254,R PT,Grey/Y,0700EE2B86,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
171,H,42254,R PT,O/LB,0700EDE6F8,,F,adult,Adult. Caught with G/Y;R PT (0700EDB014),,,,,N,N,N,Y,,,,,,,Y - 10/2 at F5H,,,,0,0,1,,0,0,0,0,0,0,1,,,N
172,H,42254,R PT,O/Black,0700EE15A1,,,adult,Adult,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
173,H,42254,R PT,O/Grey,0700EE0D9E,,,adult,Adult,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
174,H,42254,R/S2740-25205,Grey PT,0700EDD0DB,,,juv,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
175,H,42254,R/S2740-25211,Black PT,0700EDFEDD,,F,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
176,H,42254,S2740-25433,Grey PT,0700EDDA56,,,juv,Juvie,,,,,N,N,N,N,,,,,,,Y-F1H 9/11/15,,,,0,0,1,,0,0,0,0,0,0,1,,,N
177,H,42254,Y/Black,R PT,0700EDF72F,,,juv,Juvie. Possible pair with Y/LB;R PT(0700EE1D05) 9/7/15.,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
178,H,42254,Y/Grey,R PT,0700EDF523,,F,juv,Juvie,,,BOX 4 H,,N,N,N,Y,,Y-HEAR 1,Y-HEAR 1,,,,,,,,0,0,1,,0,0,0,0,0,1,1,,,N
179,H,42254,Y/LB,R PT,0700EE1D05,,M,adult,Adult. Possible pair with Y/Black;R PT (0700EDF72F) 9/7/15.,,,,,N,N,Y,Y,,,,,,,Y-F4H 9/11/15,,,,0,1,1,,0,0,0,0,1,0,1,,,N
180,H,42258,O/Black,R PT,0700EDC317,,,juv,Juvie; female?,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
181,H,42258,O/Grey,R PT,0700ED8EA0,,M,juv,DUPLICATE COLOR CODE. Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
182,H,42258,O/Grey,R PT,0700EDEF65,,,adult,DUPLICATE COLOR CODE. Adult. Caught with S2740-25258/R;Black PT(0700EDFC56) 9/11/15.,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
183,H,42258,R PT,LB/O,0700EE0389,,,,,,,,,N,N,N,N,,Y-HEAR 3,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
184,H,42258,R PT,Black/O,0700EE22CA,,,adult,Adult,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
185,H,42258,R PT,Grey/O,0700ED8CFC,,F,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
186,H,42258,S2740-25258/R,Black PT,0700EDFC56,,M,juv,Juvie. Caught with O/Grey; R PT (0700EDEF65) 9/11/15.,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
187,H,42268,Black/O,R PT,0700EDA539,,,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
188,H,42268,Grey/O,R PT,0700EDE2C7,,,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
189,H,42268,LB/O,R PT,0700EDE73A,,F,adult,Adult; vladimir pulled tail off 10/7/15,,BOX 7 H,BOX 7 H,,N,N,Y,Y,,Y-HEAR 1,Y-HEAR 1,,F1H 11/17,,Y - F2H 10/7; F2H 10/30,,,,1,1,1,,0,0,1,1,1,1,1,,,N
190,H,42268,R PT,LB/Black,0700EE124B,,F,juv,Juvie; DUPLICATE COLOR CODE,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
191,H,42279,R PT,LB/Black,0700EDDBF7,,,juv,Juvie; DUPLICATE COLOR CODE,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
192,H,42284,Black/LB,R PT,0700EDDC13,,,juv,Juvie,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
193,H,42284,LB/Black,R PT,0700EDD008,,,juv,Juvie,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
194,H,42284,LB/Grey,R PT,0700EDB530,,,,carrie pulled tail off,,,,,N,N,N,Y,,Y-HEAR 3,Y-HEAR 3,,,,Y-F3H 10/30; F4H 11/11,,,,0,0,1,,0,0,0,0,0,0,1,,,N
195,H,42284,R PT,LB/Grey,0700EE17A2,,,adult,Adult,,,,,N,N,N,Y,,Y-HEAR 1,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
196,H,42284,S2740-25380/W,R PT,0700ED99E7,,,juv,Juvie,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
197,H,42284,S2740-25442,PURPLE PT,0700EDB0B1,,,juv,Juvie,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
198,H,42307,Black/Grey,R PT,0700EE4360,,M,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
199,H,42307,Grey/Black,R PT,0700EDE177,,F,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
200,H,42307,Grey/LB,R PT,0700EDB9DA,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
201,H,42307,R PT,Grey/LB,0700EE1FD2,,M,,Didn't fly right away at TOIC,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
202,H,42307,R PT,Grey/Black,0700EDFB86,,M,,,,,,,N,N,N,Y,,,,,,,Y-F2H 11/4,,,,0,0,1,,0,0,0,0,0,0,1,,,N
203,H,42307,R PT,W/Black,0700EDBF75,,M,,formerly duplicate R PT; Black/grey; rebanded 11/11/15,,,,,N,N,N,N,,,,,,,Y-F4H 11/11,,,,0,0,1,,0,0,0,0,0,0,1,,,N
204,H,42307,R PT,Black/Grey,0700EDAD5E,,,,DUPLICATE COLOR CODE,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
205,H,42312,Y PT,R,0700EE3FC8,,,,caught with R PT;B/R (0700EE0490) at TOIC,,,,,N,N,N,Y,,Y-HEAR 1,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
206,H,42312,Y PT,R/R,0700EDAC35,,,adult,Adult,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
207,H,42312,Y PT,R/O,0700EDAEBA,,,juv,Juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
208,H,42312,Y PT,R/Y,0700EE1AE8,,,adult,Adult??,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
209,H,42312,Y PT,R/Blue,0700EE452C,,M,juv,juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
210,H,42312,Y PT,R/LB,0700EE1435,,,juv,Juv,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
211,H,42312,Y PT,R/G,0700EDF2B7,,,adult,Adult??,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
212,H,42312,Y PT,R/Black,0700EDFB4E,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
213,H,42314,Black/R,Y PT,0700EDB409,,,,,,,,,N,N,N,Y,,,,,,,Y - F3 11/11,,,,0,0,1,,0,0,0,0,0,0,1,,,N
214,H,42314,Blue/R,Y PT,0700EDAB25,,,juv,Juv.,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
215,H,42314,G/R,Y PT,0700ED860D,,M,juv,Juv;,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
216,H,42314,Grey/R,Y PT,0700EE15A3,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
217,H,42314,LB/R,Y PT,0700EDBFD5,,,,Tail lost at TOIC. ,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
218,H,42314,O/R,Y PT,0700EE2640,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
219,H,42314,PURPLE PT,S2740-25241,0700EDF415,0700EDB878,F,juv,Box 33-4 nestling. Re tagged 6/24/18 old PIT (0700EDB878),BOX 33-5 H,,,,Y,Y,Y,Y,,Y-HEAR 1; HEAR 3,Y-HEAR 1; HEAR 3,,F3H 12/13,,,,,,1,1,1,,1,1,1,0,1,0,1,,,N
220,H,42314,R,Y PT,0700EE39B9,,F,juv,Juv; captured with  R/Grey;Y PT (0700EE4575).  ,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
221,H,42314,R/Black,Y PT,0700EDB484,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
222,H,42314,R/Blue,Y PT,0700EE1981,,F,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
223,H,42314,R/G,Y PT,0700EDF31F,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
224,H,42314,R/Grey,Y PT,0700EE4575,,,adult,Adult; Êcaptured with R;Y PT (0700EE39B9) at TOIC.,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
225,H,42314,R/LB,Y PT,0700EDFEC0,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
226,H,42314,R/O,Y PT,0700EE11BC,,,adult,Adult,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
227,H,42314,R/R,Y PT,0700EDAEF6,,,adult,Adult,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
228,H,42314,R/Y,Y PT,0700ED8635,,M,,,,,,,N,N,N,N,,,,,,,Y-F4H 11/11,,,,0,0,1,,0,0,0,0,0,0,1,,,N
229,H,42314,Y PT,R/Grey,0700EE1854,,F,,Detected at LOW F2014/W15,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
230,H,42314,Y PT,O/R,0700EDF3AC,,F,juv,Juv.; detected at LOW and HIGH arrays F2015/W16,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
231,H,42314,Y PT,Y/R,0700EDF6A7,,,juv,Juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
232,H,42314,Y PT,Blue/R,0700EDA4AA,,,adult,Adult,,,,,N,N,N,N,,,,,,,Y-F3H 11/11,,,,0,0,1,,0,0,0,0,0,0,1,,,N
233,H,42314,Y PT,LB/R,0700ED953B,,M,,WAS RESIGHTED AT LEAR8 2/8/16; was subordinate to other birds at feeder. Not recorded at LEAR 8 before 1/28/16 or any other arrays before then,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
234,H,42314,Y PT,G/R,0700EDFFA8,,M,juv,Juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
235,H,42314,Y PT,Black/R,0700EDC6D8,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
236,H,42314,Y PT,Grey/R,0700EE17DB,,M,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
237,H,42314,Y/R,Y PT,0700ED92A0,,M,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
238,H,42319,B PT,R,0700ED9AF5,,M,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
239,H,42319,B PT,R/R,0700EDCE8C,,M,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
240,H,42319,B PT,R/O,0700EDD7F7,,,,captured w BLUE PT; R/Y,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
241,H,42319,B PT,R/Y,0700EE1B3E,,,,captured w BLUE PT; R/O,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
242,H,42319,B PT,R/Blue,0700EE013A,,M,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
243,H,42319,B PT,R/LB,0700ED98EA,,M,juv,Juv,BOX 28-2 H,,,,N,Y,Y,N,,,Y-HEAR 3,,F4H 9/8; F4H 9/15,,,,,,1,1,1,,0,1,1,0,1,0,1,,,N
244,H,42319,B PT,R/G,0700EDF0C7,,,juv,Juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
245,H,42319,B PT,R/Black,0700EE255C,,,juv,Juv,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
246,H,42319,B PT,R/Grey,0700EDEB1F,,M,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
247,H,42319,B PT,O/R,0700ED9E68,,,juv,Juv,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
248,H,42319,B PT,Y/R,0700EDE290,,,juv,Juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
249,H,42319,B PT,Blue/R,0700EDF35B,,M,juv,Juv,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
250,H,42319,B PT,LB/R,0700EDDCA8,,,juv,Juv,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
251,H,42319,B PT,G/R,0700EDA765,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
252,H,42319,B PT,Black/R,0700EE0171,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
253,H,42319,B PT,Grey/R,0700EE3039,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
254,H,42319,Black PT,R,0700EDC307,,M,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
255,H,42319,Black PT,R/R,0700ED9FD3,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
256,H,42319,Black PT,R/O,0700EDF3DC,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
257,H,42319,Black PT,R/Y,0700EE3E56,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
258,H,42319,Black PT,R/Blue,0700EDDB26,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
259,H,42319,Black PT,R/LB,0700EE35EC,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
260,H,42319,Black PT,R/G,0700ED961E,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
261,H,42319,Black PT,R/Black,0700EDD397,,,,,,,,,N,N,N,N,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
262,H,42319,Black PT,R/Grey,0700EDC19E,,,,,,,,,N,N,N,Y,,,,,,,,,,,0,0,1,,0,0,0,0,0,0,1,,,N
