Order,Site,RFID Date,LEFT,RIGHT,RFID number,OLD RFID,Sex,Age_TOIC,Notes,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Detected_18_19,Detected_17_18,Detected_16_17,Detected_15_16,Detected_14_15,Detected_April_16,Detected_May_16,Recap_F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15,,,Present_17_18,Present_16_17,Present_15_16,Present_14_15,Nonbreeding_18_19,Breeding_18,Nonbreeding_17_18,Breeding_17,Nonbreeding_16_17,Breeding_16,Nonbreeding_15_16,Breeding_15,Nonbreeding_14_15,Remove_18_19
28,H,41887,W/S2720-43461,R PT,0700EE0514,,M,adult,,,,,BOX 26 H,N,N,N,Y,Y,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
29,H,41887,Y,R PT,0700EE1A2B,,,adult,adult; was badly tangled,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
30,H,41894,R PT,R/R,0700EE26F2,,F,adult,adult,,,,BOX 38 H,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
31,H,41894,R PT,G/G,0700EE2D20,,M,adult,adult,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
32,H,41901,R PT,Blue/Blue,0700EDFED4,,F,,Detected at LOW and HIGH F2014/W15,,,,BOX 5 H,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
33,H,41901,R PT,Black/Black,030002A624,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
34,H,41901,R/S2720-43445,Y PT,030001F885,,M,adult,DUPLICATE COLOR CODE; Detected at LOW and HIGH F2014/W15,BOX 10 H,,BOX 7 H,BOX 5 H,Y,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,F2H 11/29,,,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,N
35,H,41948,Black/Black,R PT,0700EDA35E,,F,adult,adult F,,,,,N,N,N,Y,Y,,,,,,Y-F2H 9/21/15,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
36,H,41948,Blue/Blue,R PT,0300025F50,,M,,Detected at LOW and HIGH F2014/W15,BOX B9 H,BOX B5-1 H; BOX B9 H,BOX B5-1 H,BOX B11 H,N,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,Y-F2H 12/30/2016,,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,N
37,H,41948,R PT,LG/LG,0700ED9EEE,,,,pair with RED PT; LB/LB at time of first capture; acted strange and limp but flew well; Detected LOW and HIGH F2014/W15,,,,,N,N,N,N,Y,,,,,,Y-F1H 8/21/15,Y - F1H 12/28/14,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
38,H,41948,R PT,LB/LB,03000208C0,,,,pair with RED PT; LG/LG at time of first capture; took 5 min to fly away. Present LEAR 8 April 2016. Detected at LOW and HIGH F2014/W15; Recaptured 8/21/15 with R PT; Grey/LG (0700EDDE6B),,,,,N,N,N,Y,Y,Y-HEAR 1; LEAR 3,Y-HEAR 1,,,,,Y -  F1H 1/1/15,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
39,H,41948,R PT,Y/Y,0300025985,,,,Detected at LOW and HIGH F2014/W15,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
40,H,41948,R PT,O/O,0300019589,,M,,pair with red pt; grey/grey at time of first capture,,,,BOX 1 H,N,N,N,Y,Y,,,,,,Y - F1H 10/7,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
41,H,41948,R PT,Grey/Grey,0700EDD03A,,,,pair with red pt; o/o at time of first capture; Detected at LOW and HIGH F2014/W15,,,,,N,N,N,N,Y,,,,,,,Y - F2H 11/12/14; F1H 1/1/15 ,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
42,H,41948,R/R,R PT,030001D152,,M,adult,,,BOX 5A H,BOX 4A H,BOX 6 H,N,N,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,F1 H; 8/15,,Y-F1H 9/7/15,,,,1,1,1,1,0,0,1,1,1,1,1,1,1,N
43,H,41955,G/G,R PT,0700EE3D42,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
44,H,41955,S2540-39407/R,R PT,030003735A,,M,adult,,,BOX 34 H,BOX 34 H,BOX 34 H,N,Y,Y,Y,Y,Y-HEAR 1; HEAR 3,Y-HEAR 3,,,Y- 11/21/2016 F3H,,,,,1,1,1,1,0,0,1,1,1,1,1,1,1,N
45,H,41955,S2740-25025/G,R PT,03000317F8,,,juv,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
46,H,41960,LB/LB,R PT,030002F6A9,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
47,H,41960,LG/LG,R PT,0300026EA2,,M,,DUPLICATE COLOR CODE,,,,,N,N,N,N,Y,,,,,,,Y - F7H 11/26/14,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
48,H,41969,Grey/Grey,R PT,0300019B2E,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
49,H,41969,O/O,R PT,0700EE2AD9,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
50,H,41969,R PT,R/Black,0700EE0863,,M,adult,Detected at LOW and HIGH arrays F2014/W15,,,,BOX 4 H,N,N,N,Y,Y,,,,,,Y-F2H 9/11/15,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
51,H,41969,Y/Y,R PT,030001F664,,M,,,BOX 5-2 H,BOX 6 H,BOX 15 H,,Y,Y,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,F1H 11/17,,Y - F2H 10/2; F1H 10/30,,,,1,1,1,1,1,1,1,1,1,1,1,0,1,N
52,H,41995,R PT,R/G,0700EDE8C0,,,,,,,,,N,N,N,N,N,,,,,,Y-F4H? 11/6,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
53,H,41995,R PT,R/LB,0700EE0EC4,,F,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
54,H,41995,R PT,R/LG,0700ED8AF6,,,,,,,,,N,N,N,N,N,,,,,,,Y - F3H 3/21/15,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
55,H,41995,R PT,R/O,0700EE2030,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
56,H,41995,R PT,R/Y,0700EE40D6,,F,,,,,BOX 26 H,,N,N,N,Y,Y,Y-HEAR 3,Y-HEAR 3,,,,,,,,0,0,1,1,0,0,0,0,0,1,1,0,1,N
57,H,41995,R PT,R/Grey,0700EDF35F,,F,,,,BOX 20A H,BOX 18-3 H,,N,N,Y,Y,Y,Y-HEAR 1; HEAR 3,Y-HEAR 1; HEAR 3,,,,Y-F1H 9/2/15; F5H 9/7/15,,,,0,1,1,1,0,0,0,1,1,1,1,0,1,N
58,H,41995,R/Black,R PT,0700EDBA2B,,F,,Broken toe nail (on recap 10/30/15),,,,BOX 26 H,N,N,N,Y,Y,,,,,,Y-F4H 10/30/15,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
59,H,41995,R/Blue,R PT,0700EDA565,,M,,,,,BOX 18-3 H,,N,N,N,Y,Y,Y-HEAR 1; HEAR 3,Y-HEAR 3,,,,Y-F3H 9/11/15,,,,0,0,1,1,0,0,0,0,0,1,1,0,1,N
60,H,41995,R/G,R PT,0700EDD1CE,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
61,H,41995,R/LG,R PT,0700EE16FB,,,,,,,,,N,N,N,Y,Y,,,,,,Y-F3H 8/28/15; F4H 10/30,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
62,H,42001,R PT,Blue/R,0700EE0490,,,,Recap w/ Y PT; R (0700EE3FC8) 11/4/15,,,,,N,N,N,Y,Y,,,,,,Y-F8H 11/4/15,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
63,H,42001,R/Grey,R PT,0700EE0F9F,,F,,,,,,,N,N,N,Y,Y,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
64,H,42001,R/LB,R PT,0700EE4484,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
65,H,42001,R/O,R PT,03000346D4,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
66,H,42001,R/Y,R PT,0300026637,,F,,,,,,,N,N,N,Y,Y,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
67,H,42005,Black/R,R PT,0700EDDCC6,,M,,,,,,,N,N,N,N,N,,,,,,Y-F1H 11/11,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
68,H,42005,Blue/R,R PT,0700EDFFE1,,M,,,,,,BOX 13 H,Y,Y,Y,N,Y,,,,,,,,,,1,1,0,1,1,0,1,0,1,0,0,1,1,N
69,H,42005,G/R,R PT,0700EDA894,,,,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
